strategy,loss,seconds,input_tokens_per_second,target_tokens_per_second,peak_allocated_gib,peak_reserved_gib,allocated_gib,reserved_gib,scale_before,scale_after,skipped_update,step,phase
baseline,3.7743918895721436,0.6675382370001444,383.49863095549483,380.502547901155,8.422210216522217,8.93359375,7.4065842628479,8.93359375,1.0,1.0,False,0,warmup
baseline,3.7764527797698975,0.5409090839998498,473.27731696972404,469.57983793089807,8.420806407928467,9.48828125,7.40518045425415,9.48828125,1.0,1.0,False,1,warmup
baseline,3.760550022125244,0.5421422310000708,472.20080886848785,468.5117400492028,8.420806407928467,9.48828125,7.40518045425415,9.48828125,1.0,1.0,False,2,warmup
baseline,3.621384620666504,0.5411553910000748,473.0619046904489,469.3661085600548,8.420806407928467,9.48828125,7.40518045425415,9.48828125,1.0,1.0,False,3,measured
baseline,4.002108573913574,0.5424250449998453,471.9546089544464,468.26746357198977,8.420806407928467,9.48828125,7.40518045425415,9.48828125,1.0,1.0,False,4,measured
baseline,3.8638951778411865,0.541754759000014,472.53853472839245,468.84682742582686,8.420806407928467,9.48828125,7.40518045425415,9.48828125,1.0,1.0,False,5,measured
baseline,4.263368606567383,0.5451886329999525,469.56224782482275,465.8937927636913,8.420806407928467,9.48828125,7.40518045425415,9.48828125,1.0,1.0,False,6,measured
baseline,2.7097911834716797,0.545330192999927,469.44035611106216,465.7728533289445,8.420806407928467,9.48828125,7.40518045425415,9.48828125,1.0,1.0,False,7,measured
accumulation,3.7743918895721436,0.7201466229998914,355.4831638779185,352.70595166012225,8.410614013671875,8.7890625,7.3949875831604,8.7890625,1.0,1.0,False,0,warmup
accumulation,3.779477119445801,0.6875100390000171,372.3581991215021,369.44915069086534,9.080316543579102,9.740234375,7.39468240737915,9.740234375,1.0,1.0,False,1,warmup
accumulation,3.7615766525268555,0.6874071409999942,372.41393743391757,369.50445354771506,9.079492568969727,9.740234375,7.3943772315979,9.740234375,1.0,1.0,False,2,warmup
accumulation,3.6173386573791504,0.6957900419999987,367.92708223323564,365.05265190328845,9.079492568969727,9.740234375,7.3943772315979,9.740234375,1.0,1.0,False,3,measured
accumulation,4.00106143951416,0.6891645889998017,371.46423958250364,368.56217521076536,9.079492568969727,9.740234375,7.3943772315979,9.740234375,1.0,1.0,False,4,measured
accumulation,3.869259834289551,0.687386800000013,372.42495782577606,369.5153878427622,9.079492568969727,9.740234375,7.3943772315979,9.740234375,1.0,1.0,False,5,measured
accumulation,4.262557029724121,0.6896396799998001,371.2083388242309,368.3082736771666,9.079492568969727,9.740234375,7.3943772315979,9.740234375,1.0,1.0,False,6,measured
accumulation,2.707286834716797,0.6930385169998772,369.3878388003727,366.5019963097448,9.079492568969727,9.740234375,7.3943772315979,9.740234375,1.0,1.0,False,7,measured
checkpoint,3.7743918895721436,0.6601684469999327,387.77981765618387,384.7502878307449,8.412810802459717,8.748046875,7.3971848487854,8.748046875,1.0,1.0,False,0,warmup
checkpoint,3.7764527797698975,0.618578535000097,413.8520584131809,410.61883920682794,8.409881114959717,9.271484375,7.3942551612854,9.271484375,1.0,1.0,False,1,warmup
checkpoint,3.760550022125244,0.6184088000002248,413.96564861287055,410.7315419830825,8.409881114959717,9.271484375,7.3942551612854,9.271484375,1.0,1.0,False,2,warmup
checkpoint,3.621384620666504,0.6172872839999854,414.7177604909257,411.47777798709035,8.409881114959717,9.271484375,7.3942551612854,9.271484375,1.0,1.0,False,3,measured
checkpoint,4.002108573913574,0.6163594669999384,415.3420426006462,412.09718289282864,8.409881114959717,9.271484375,7.3942551612854,9.271484375,1.0,1.0,False,4,measured
checkpoint,3.8638951778411865,0.6200412819998746,412.87573494187404,409.65014326264065,8.409881114959717,9.271484375,7.3942551612854,9.271484375,1.0,1.0,False,5,measured
checkpoint,4.263368606567383,0.6188148329999876,413.6940266265484,410.4620420435285,8.409881114959717,9.271484375,7.3942551612854,9.271484375,1.0,1.0,False,6,measured
checkpoint,2.7097911834716797,0.6096061830000963,419.94324719629617,416.6624405775751,8.409881114959717,9.271484375,7.3942551612854,9.271484375,1.0,1.0,False,7,measured
